TOA5,LVDT 데이터_스무딩
2025-05-31 6:25,0.19191474195961192
2025-05-31 6:30,0.19419866064274213
2025-05-31 6:35,0.19861399246718622
2025-05-31 6:40,0.19972181975476921
2025-05-31 6:45,0.2086802058846433
2025-05-31 6:50,0.21588110364432145
2025-05-31 6:55,0.2172691181739296
2025-05-31 7:00,0.21956836751633935
2025-05-31 7:05,0.21995974937297152
2025-05-31 7:10,0.21961817249683732
2025-05-31 7:15,0.21739432681129817
2025-05-31 7:20,0.21908505122354507
2025-05-31 7:25,0.21551191235626063
2025-05-31 7:30,0.21757300778619174
2025-05-31 7:35,0.2177394370504774
2025-05-31 7:40,0.21892011919636178
2025-05-31 7:45,0.21929805213528666
2025-05-31 7:50,0.21876493668781966
2025-05-31 7:55,0.21708417734975013
2025-05-31 8:00,0.22364213120338716
2025-05-31 8:05,0.2209866209921722
2025-05-31 8:10,0.22498531018147905
2025-05-31 8:15,0.22430978826035494
2025-05-31 8:20,0.22320539529678687
2025-05-31 8:25,0.2218338736786058
2025-05-31 8:30,0.22148897899496273
2025-05-31 8:35,0.22305796696172034
2025-05-31 8:40,0.22194876186645365
2025-05-31 8:45,0.22150067725216713
2025-05-31 8:50,0.22110497845898686
2025-05-31 8:55,0.21204535987577028
2025-05-31 9:00,0.2103251771778891
2025-05-31 9:05,0.20648106461129295
2025-05-31 9:10,0.20816383385909137
2025-05-31 9:15,0.20130671513751122
2025-05-31 9:20,0.1998508705239238
2025-05-31 9:25,0.2021981334055515
2025-05-31 9:30,0.201609475
2025-05-31 9:35,0.19861225928415918
2025-05-31 9:40,0.19309055080263204
2025-05-31 9:45,0.18581411247918886
2025-05-31 9:50,0.18964156027251144
2025-05-31 9:55,0.1911820337373335
2025-05-31 10:00,0.19025783063741195
2025-05-31 10:05,0.1895741146930021
2025-05-31 10:10,0.18884769836204862
2025-05-31 10:15,0.19296041060414618
2025-05-31 10:20,0.19677787293290297
2025-05-31 10:25,0.19754185709830965
2025-05-31 10:30,0.1987926850937304
2025-05-31 10:35,0.19762593249614072
2025-05-31 10:40,0.19693063481103248
2025-05-31 10:45,0.19755842574546564
2025-05-31 10:50,0.19411018092098362
2025-05-31 10:55,0.19123056868791594
2025-05-31 11:00,0.18861816084519023
2025-05-31 11:05,0.1861940116341529
2025-05-31 11:10,0.18479516980822286
2025-05-31 11:15,0.18369384996750104
2025-05-31 11:20,0.18365150495630084
2025-05-31 11:25,0.181547336
2025-05-31 11:30,0.18163491009293126
2025-05-31 11:35,0.17550893827244896
2025-05-31 11:40,0.1717059210775259
2025-05-31 11:45,0.17448550389017584
2025-05-31 11:50,0.1734163688213293
2025-05-31 11:55,0.17326002988646497
2025-05-31 12:00,0.1767463697825901
2025-05-31 12:05,0.18430904838054615
2025-05-31 12:10,0.18593002018646443
2025-05-31 12:15,0.18379450857705132
2025-05-31 12:20,0.18545010908855858
2025-05-31 12:25,0.18697890759947744
2025-05-31 12:30,0.19350865571991985
2025-05-31 12:35,0.19062366916301207
2025-05-31 12:40,0.19383183463975354
2025-05-31 12:45,0.1969698134861816
2025-05-31 12:50,0.199492131
2025-05-31 12:55,0.19824262523337555
2025-05-31 13:00,0.19932988153182077
2025-05-31 13:05,0.2037377650386176
2025-05-31 13:10,0.20651564379736692
2025-05-31 13:15,0.20674492789082485
2025-05-31 13:20,0.21321725376418815
2025-05-31 13:25,0.2136103600651095
2025-05-31 13:30,0.22170043315008697
2025-05-31 13:35,0.22266589474478998
2025-05-31 13:40,0.2245879801572145
2025-05-31 13:45,0.22850080250741037
